maar,dummy,FDI
12.48616339,1,2233000000
0.020513096,1,2233000000
1.021157811,1,3410000000
0.924423694,1,3410000000
0.069837895,1,2041000000
0.955409933,1,2041000000
0.328548847,1,2041000000
0.561899487,1,2041000000
0.204533815,1,3317000000
1.059529074,1,3317000000
10.31377159,1,3317000000
0.325221621,1,3317000000
4.174255536,1,4266000000
0.041123431,1,4266000000
0.341965425,1,4266000000
0.237579551,1,4266000000
0.339574855,1,4266000000
1.030083694,1,4401000000
0.992458537,1,4401000000
0.070390296,1,4401000000
0.32437586,1,4401000000
0.231593911,1,4401000000
0.887943153,1,4401000000
0.589014479,1,4401000000
0.755112429,1,4401000000
0.868963868,1,4401000000
0.578725868,1,4401000000
0.362512499,1,4401000000
0.234078455,1,2372000000
0.78738753,1,2372000000
0.134158803,1,2372000000
0.742205003,1,2372000000
0.958838843,1,2372000000
0.204898856,1,2372000000
0.713527249,1,2372000000
0.988412201,1,2372000000
0.514517917,1,2372000000
0.554391414,1,2372000000
0.427948642,1,2372000000
0.303022781,1,2372000000
1.032032361,1,2372000000
0.753866449,1,2372000000
0.439399444,1,4118000000
0.799132212,1,4118000000
0.752812391,1,4118000000
0.524064536,1,4118000000
1.307768583,1,4118000000
1.293796984,1,4118000000
1.016386237,1,4118000000
0.767077441,1,4118000000
0.765651544,1,4118000000
0.962492965,1,4118000000
9.385817226,1,4118000000
0.851627925,1,4118000000
1.280731672,1,4118000000
1.112076193,1,3062000000
1.617104932,1,3062000000
1.333962341,1,3062000000
1.111504959,1,3062000000
0.391853937,1,3062000000
0.797850295,1,3062000000
1.081866505,1,3062000000
0.581869435,1,3062000000
0.863489262,1,3062000000
1.030841031,1,3578000000
0.845548938,1,3578000000
0.546334535,1,3578000000
0.857781655,1,3578000000
1.188976235,1,3578000000
0.752944373,1,3578000000
1.954344947,1,3578000000
1.086795349,1,3578000000
2.226701719,1,3578000000
1.31664995,1,3578000000
1.919215904,1,3578000000
1.586113848,1,3578000000
1.897808103,1,3578000000
1.387887268,1,3960000000
0.954973623,1,3960000000
1.172930855,1,3960000000
1.028417279,1,3960000000
1.420281095,1,3960000000
1.701180494,1,3960000000
19.61582058,1,3960000000
2.853810207,1,3960000000
17.25036263,1,3960000000
1.415562434,1,3960000000
2.275555929,1,3960000000
1.707330728,1,3960000000
1.488802481,1,3960000000
17.78501241,1,3960000000
1.688590089,1,3960000000
26.37438164,1,4968000000
3.171185327,1,4968000000
1.9889195,1,4968000000
2.08226299,1,4968000000
3.276736327,1,4968000000
3.316294831,1,4968000000
19.61304962,1,4968000000
2.337793258,1,4968000000
1.296728649,1,4968000000
1.23493987,1,4968000000
1.681141503,1,4968000000
8.559477531,1,4968000000
1.205589787,1,4968000000
13.27965477,1,4968000000
1.72180956,1,4968000000
1.684124648,1,4968000000
0.111808286,0,3944000000
1.508909735,0,3944000000
1.484917755,0,3120000000
1.914584864,0,3120000000
-0.050683148,0,3120000000
2.69721719,0,3120000000
2.555989633,0,3120000000
2.197612978,0,3169000000
0.272177068,0,3169000000
1.14791798,0,3169000000
1.746491928,0,3169000000
0.949997424,0,3169000000
1.967068662,0,3169000000
1.153970054,0,3169000000
1.157052855,0,3169000000
0.816006053,0,5565000000
1.339189226,0,5565000000
0.240339833,0,5565000000
1.671834744,0,5565000000
1.44892558,0,5565000000
1.476415706,0,5565000000
1.46716554,0,5565000000
1.094201033,0,5565000000
1.344083433,0,3427000000
1.086660527,0,3259000000
1.198079559,0,3259000000
0.594344818,0,3259000000
0.72300646,0,4219000000
1.162685309,0,4219000000
1.6514322,0,4219000000
1.592116903,0,4219000000
1.727039141,0,4219000000
1.042541338,0,4552000000
0.484953959,0,4552000000
1.99289717,0,4552000000
0.788874748,0,4552000000
0.45725883,0,5163000000
1.713280368,0,5163000000
1.376865796,0,5163000000
1.358132351,0,5163000000
1.400970118,0,5163000000
1.321426678,0,5163000000
0.810924174,0,4512000000
1.087727443,0,4512000000
0.775871988,0,4512000000
0.920955862,0,4512000000
0.765694774,0,4512000000
1.071548088,0,4512000000
0.793145477,0,4512000000
